tenure,avgmonthlyspend,MonthlyCharges,InternetService_Fiber optic,Contract_Two year,PaymentMethod_Electronic check,gender,PaperlessBilling,Contract_One year,OnlineSecurity_Yes,Partner,TechSupport_Yes,OnlineBackup_Yes,SeniorCitizen,DeviceProtection_Yes,Churn
1,14.925,29.85,0,0,1,0,1,0,0,1,0,1,0,0,0
34,53.98571428571429,56.95,0,0,0,1,0,1,1,0,0,0,0,1,0
2,36.050000000000004,53.85,0,0,0,1,1,0,1,0,0,1,0,0,1
45,40.016304347826086,42.3,0,0,0,1,0,1,1,0,1,0,0,1,0
2,50.550000000000004,70.7,1,0,1,0,1,0,0,0,0,0,0,0,1
8,91.16666666666667,99.65,1,0,1,0,1,0,0,0,0,0,0,1,1
22,84.75652173913043,89.1,1,0,0,1,1,0,0,0,0,1,0,0,0
10,27.44545454545454,29.75,0,0,0,0,0,0,1,0,0,0,0,0,0
28,105.03620689655173,104.8,1,0,1,0,1,0,0,1,1,0,0,1,1
62,55.364285714285714,56.15,0,0,0,1,0,1,1,0,0,1,0,0,0
13,41.96071428571429,49.95,0,0,0,1,1,0,1,1,0,0,0,0,0
16,19.223529411764705,18.95,0,1,0,1,0,0,0,0,0,0,0,0,0
58,96.28983050847458,100.35,1,0,0,1,0,1,0,1,0,0,0,1,0
49,100.726,103.7,1,0,0,1,1,0,0,0,0,1,0,1,1
25,103.3096153846154,105.5,1,0,1,1,1,0,1,0,1,0,0,1,0
69,112.78785714285713,113.25,1,1,0,0,0,0,1,1,1,1,0,1,0
52,19.300943396226415,20.65,0,0,0,0,0,1,0,0,0,0,0,0,0
71,102.53125,106.7,1,1,0,1,0,0,1,0,0,0,0,1,0
10,48.03181818181818,55.2,0,0,0,0,0,0,0,1,1,0,0,1,1
21,84.67727272727274,90.05,1,0,1,0,1,0,0,0,0,1,0,1,0
1,19.825,39.65,0,0,1,1,1,0,0,0,0,0,1,1,1
12,15.557692307692308,19.8,0,0,0,1,0,1,0,1,0,0,0,0,0
1,10.075,20.15,0,0,0,1,0,0,0,0,0,0,0,0,1
58,59.40847457627118,59.9,0,1,0,0,1,0,0,1,1,1,0,0,0
49,59.406000000000006,59.6,0,0,0,1,0,0,1,1,1,1,0,0,0
30,49.37419354838709,55.3,0,0,0,0,1,0,1,0,0,1,0,0,0
47,98.940625,99.35,1,0,1,1,1,0,0,1,0,1,0,0,1
1,15.1,30.2,0,0,1,1,0,0,0,1,0,1,0,0,1
72,87.2527397260274,90.25,0,1,0,1,1,0,1,1,1,1,0,1,0
17,60.727777777777774,64.7,0,0,0,0,1,0,0,0,0,0,0,0,1
71,93.98541666666667,96.35,1,1,0,0,1,0,1,1,1,1,1,1,0
2,60.550000000000004,95.5,1,0,0,1,1,0,0,1,0,0,1,1,0
27,66.94464285714285,66.15,0,0,0,0,0,1,1,1,1,1,0,1,0
1,10.1,20.2,0,0,0,1,0,0,0,0,0,0,0,0,0
1,22.625,45.25,0,0,0,1,0,0,0,0,0,0,1,0,0
72,99.33835616438355,99.9,1,1,0,0,0,0,1,1,1,1,0,0,0
5,52.81666666666666,69.7,1,0,1,1,1,0,0,0,0,0,0,0,1
46,75.49574468085106,74.8,1,0,0,0,1,0,0,0,0,0,0,1,0
34,101.40714285714286,106.35,1,0,1,1,1,0,0,0,0,1,0,1,1
11,92.11666666666667,97.85,1,0,0,0,1,0,0,0,0,0,0,1,1
10,43.24545454545454,49.55,0,0,0,1,0,1,0,1,0,1,0,0,0
70,68.62464788732395,69.2,0,1,0,0,1,0,1,1,0,1,0,0,0
17,23.23611111111111,20.75,0,0,0,0,0,1,0,1,0,0,0,0,0
63,75.96015625,79.85,0,1,0,0,1,0,1,0,1,1,0,1,0
13,70.10357142857143,76.2,0,0,1,0,1,0,1,1,1,1,0,0,0
49,78.134,84.5,1,0,1,0,1,0,0,0,0,0,0,0,0
2,32.333333333333336,49.25,0,0,0,1,0,0,0,0,0,1,0,0,0
2,48.050000000000004,80.65,1,0,1,0,1,0,0,0,0,0,0,0,1
52,79.5811320754717,79.75,0,1,0,1,1,0,1,0,1,0,0,0,0
69,60.77285714285715,64.15,0,1,0,0,1,0,1,1,1,0,0,1,0
43,87.24431818181819,90.25,1,0,1,0,1,0,0,0,0,1,1,0,0
15,89.15,99.1,1,0,0,0,1,0,1,0,0,1,0,0,1
25,67.40961538461539,69.5,0,0,0,0,1,0,1,1,1,0,1,0,0
8,70.36666666666666,80.65,1,0,0,0,1,0,0,1,0,1,1,0,1
60,73.05491803278689,74.85,0,0,0,0,1,1,1,1,1,1,1,1,0
18,92.23947368421052,95.45,1,0,1,1,1,0,0,0,0,0,1,0,1
63,98.6125,99.65,1,0,0,0,1,1,1,1,0,0,0,0,0
66,105.61716417910448,108.45,1,0,1,1,1,1,0,1,1,1,1,1,0
34,25.55142857142857,24.95,0,1,0,0,0,0,0,1,0,0,0,0,0
72,107.58493150684932,107.5,1,1,0,0,1,0,0,0,1,0,0,1,0
47,98.06458333333335,100.5,1,0,1,0,1,0,0,1,0,0,0,1,0
60,89.35573770491803,89.9,1,0,0,1,1,0,0,0,0,1,0,0,0
72,40.57534246575342,42.1,0,1,0,1,0,0,1,1,0,1,0,1,0
18,50.373684210526314,54.4,0,0,0,0,1,1,0,1,1,0,0,1,0
9,85.725,94.4,1,0,1,0,0,0,0,0,0,0,0,0,1
3,61.025,75.3,0,0,1,0,1,0,0,0,1,1,0,0,0
47,76.04895833333333,78.9,1,0,1,1,1,1,0,1,0,1,0,0,0
31,78.0375,79.2,0,1,0,0,0,0,0,0,1,1,0,1,0
50,18.25294117647059,20.15,0,1,0,0,0,0,0,1,0,0,0,0,0
10,80.66818181818182,79.85,1,0,0,1,1,0,1,0,0,0,0,1,0
1,24.525,49.05,0,0,0,1,0,0,0,0,1,0,0,0,0
52,20.578301886792456,20.4,0,0,1,0,1,1,0,1,0,0,0,0,0
64,109.21538461538462,111.6,1,1,0,1,1,0,1,1,1,0,1,1,0
62,22.61269841269841,24.25,0,1,0,1,1,0,0,1,0,0,0,0,0
3,44.35,64.5,0,0,0,0,1,0,1,0,1,0,0,0,0
56,107.71052631578948,110.5,1,0,1,0,0,1,1,0,0,1,1,1,0
46,57.2095744680851,55.65,0,0,0,0,0,1,0,0,0,0,0,0,0
8,53.583333333333336,54.65,0,0,0,0,0,0,1,1,0,1,0,0,0
30,68.10645161290323,74.75,0,0,1,1,1,0,1,0,0,1,1,0,0
45,26.44782608695652,25.9,0,0,0,0,1,1,0,1,0,0,0,0,0
1,39.675,79.35,1,0,1,0,1,0,0,0,0,0,0,0,1
11,47.112500000000004,50.55,0,0,1,0,0,0,1,1,0,0,0,0,0
7,62.1125,75.15,1,0,0,0,1,0,0,1,0,0,0,1,1
42,100.63953488372093,103.8,1,0,0,0,1,0,0,0,1,1,0,1,0
49,19.467,20.15,0,1,0,0,1,0,0,1,0,0,0,0,0
9,91.875,99.3,1,0,0,1,1,0,0,0,0,1,0,0,0
35,61.540277777777774,62.15,0,0,0,0,1,1,1,1,0,0,0,0,0
48,21.571428571428573,20.65,0,1,0,0,0,0,0,1,0,0,0,0,0
46,19.72553191489362,19.95,0,1,0,0,1,0,0,1,0,0,0,0,0
29,33.641666666666666,33.75,0,0,0,1,0,0,0,1,0,0,0,0,0
30,82.90967741935484,82.05,1,0,0,1,0,0,0,1,0,1,0,1,0
